STEM,WORDS,NUM_WORDS,POSTS,COUNT
nurseri,nursery,1,1,1
ladybird,ladybirds,1,1,1
saver,saver,1,1,1
hatr,hatred,1,1,1
talki,talkies,1,1,1
foul,"foul, fouling",2,3,3
interchang,interchanged,1,2,2
four,four,1,1,1
prefix,"prefixing, prefix",2,2,2
sleep,"sleep, sleeps, sleeping",3,11,11
captain,captains,1,1,1
hate,"hate, hating",2,5,5
whose,whose,1,1,1
accus,accused,1,1,1
voter,"voters, voter",2,3,3
sorri,sorry,1,9,9
ali,ali,1,2,2
undet,undeterred,1,1,1
deviat,deviated,1,1,1
certain,"certain, certainly",2,6,6
buddi,buddies,1,3,3
violenc,violence,1,1,1
donnnnnt,donnnnnt,1,1,1
chuy,chuye,1,1,1
worth,worth,1,4,4
xth,xth,1,1,1
digit,"digits, digital",2,2,2
truehardworkblogspotinsweet,truehardworkblogspotinsweet,1,1,1
everi,every,1,46,46
risk,risk,1,1,1
downstream,downstream,1,1,1
ugli,ugly,1,1,1
compassion,compassionate,1,1,1
rise,"rise, rising",2,10,10
lurk,"lurked, lurking",2,3,3
voic,"voice, voices",2,5,5
rosl,rosling,1,1,1
sinner,sinner,1,1,1
lumin,"luminant, luminous",2,2,2
mania,mania,1,1,2
yellow,yellow,1,1,1
taj,taj,1,1,1
govern,government,1,5,5
affect,"affected, affects, affect",3,5,5
vast,"vastness, vast",2,2,2
yuvraj,yuvraj,1,1,1
roadssomeday,roadssomeday,1,1,1
school,"school, schools",2,8,8
hisher,hisher,1,3,3
prize,prizes,1,2,2
pinch,pinch,1,3,3
wednesday,wednesday,1,1,1
correct,"correctness, correct",2,2,2
technolog,technology,1,4,4
farmland,farmland,1,1,1
temperamentand,temperamentand,1,1,1
sachin,sachin,1,1,1
enjoy,"enjoy, enjoying, enjoyment, enjoyed",4,34,34
chew,chewing,1,1,1
aggrev,aggrevated,1,1,1
speci,"species, specie",2,2,2
naiv,naive,1,1,1
seper,seperate,1,1,1
direct,"direct, direction, directly, directed, directions",5,8,8
horn,horns,1,2,2
nail,nailed,1,1,1
consequ,consequences,1,2,2
hors,"horses, horse",2,2,2
street,"street, streets",2,3,3
sooth,soothing,1,2,2
empow,empowered,1,1,1
naik,naik,1,1,1
ill,"illness, ill, ills, illnesses",4,9,9
air,air,1,6,8
flabbergast,flabbergasted,1,2,2
even,"even, evening",2,72,72
neo,neo,1,1,1
stardom,stardom,1,1,1
hide,"hide, hiding",2,9,9
appettit,appettite,1,1,1
thunder,"thunderous, thunder",2,3,3
amus,"amusing, amusement",2,3,3
introspect,introspect,1,1,1
accolad,accolades,1,1,1
sung,sung,1,1,1
ibl,ibl,1,1,1
amul,amul,1,1,1
runner,runner,1,1,1
new,new,1,24,24
with,with,1,1,1
reslov,resloving,1,1,1
ever,ever,1,11,11
succumb,"succumbed, succumb",2,2,2
