ID,DAY,MONTH,YEAR,DATE,HOUR,MIN,SEC,TIME,TYPE,LIKES,COMMENTS,TOTAL_WORDS,POS,NEG,NEU,COMP
1405174859572227_1440883739334672,7,8,2017,8/7/17,21,9,26,21:09:26,photo,0,0,6,0,0,1,0
1405174859572227_1440135386076174,7,8,2017,8/7/17,3,32,53,03:32:53,video,7,1,6,0.323,0,0.677,0.337
1405174859572227_1440134416076271,7,8,2017,8/7/17,3,30,30,03:30:30,video,7,0,6,0,0,1,0
1405174859572227_1440129439410102,7,8,2017,8/7/17,3,19,48,03:19:48,video,2,0,0,0,0,0,0
1405174859572227_1437792016310511,4,8,2017,8/4/17,18,20,22,18:20:22,video,8,1,11,0,0,1,0
1405174859572227_1437785746311138,4,8,2017,8/4/17,18,12,12,18:12:12,video,3,1,0,0,0,0,0
1405174859572227_1437784982977881,4,8,2017,8/4/17,18,10,38,18:10:38,video,7,0,0,0,0,0,0
1405174859572227_1436175046472208,3,8,2017,8/3/17,5,7,12,05:07:12,video,7,1,0,0,0,0,0
1405174859572227_1436173409805705,3,8,2017,8/3/17,5,3,15,05:03:15,video,10,0,3,0.672,0,0.328,0.624
1405174859572227_1435113069911739,2,8,2017,8/2/17,4,2,54,04:02:54,video,4,0,0,0,0,0,0
1405174859572227_1435112236578489,2,8,2017,8/2/17,4,1,16,04:01:16,video,0,0,0,0,0,0,0
1405174859572227_1434137266675986,1,8,2017,8/1/17,0,31,22,00:31:22,video,3,0,0,0,0,0,0
1405174859572227_1432585780164468,30,7,2017,7/30/17,5,18,55,05:18:55,video,8,1,6,0,0,1,0
1405174859572227_1431540666935646,29,7,2017,7/29/17,0,24,51,00:24:51,video,1,0,9,0,0,1,0
1405174859572227_1431518863604493,28,7,2017,7/28/17,23,48,6,23:48:06,video,10,0,6,0.555,0,0.445,0.61
1405174859572227_1431458310277215,28,7,2017,7/28/17,22,7,6,22:07:06,video,7,0,1,0,0,0,0
1405174859572227_1431453760277670,28,7,2017,7/28/17,22,1,49,22:01:49,video,1,0,0,0,0,0,0
1405174859572227_1426846340738412,24,7,2017,7/24/17,16,58,29,16:58:29,video,5,0,1,0,1,0,-0.541
1405174859572227_1425180500904996,23,7,2017,7/23/17,7,15,5,07:15:05,link,4,1,59,0.132,0.036,0.832,0.801
1405174859572227_1423606771062369,21,7,2017,7/21/17,22,3,4,22:03:04,video,0,0,0,0,0,0,0
1405174859572227_1420787264677653,19,7,2017,7/19/17,7,4,9,07:04:09,video,6,0,0,0,0,0,0
1405174859572227_1417991931623853,16,7,2017,7/16/17,16,45,50,16:45:50,video,2,0,0,0,0,0,0
1405174859572227_1417988918290821,16,7,2017,7/16/17,16,41,39,16:41:39,video,1,0,7,0,0,1,0
1405174859572227_1417986401624406,16,7,2017,7/16/17,16,38,4,16:38:04,video,7,0,5,0.544,0,0.456,0.337
