"YEAR","MONTH","Mean_Likes","Median_Likes","Mean_Comments","Median_Comments","Likes","Comments","Posts"
"2011",1,4,3,1,0,32,6,9
"2011",5,0,0,0,0,0,0,1
"2011",9,8,8,2,0,30,6,4
"2012",1,6,3,1,0,277,62,50
"2012",2,5,5,1,1,19,4,4
"2012",3,5,4,2,2,20,6,4
"2012",4,11,11,8,8,11,8,1
"2012",5,9,11,4,3,46,18,5
"2012",6,6,4,1,0,23,4,4
"2012",7,4,4,2,2,26,17,7
"2012",8,4,3,1,0,39,7,9
"2012",9,4,2,1,0,45,6,11
"2013",1,14,10,4,1,942,264,68
"2013",2,4,2,1,0,66,16,16
"2013",3,12,8,3,1,73,17,6
"2013",4,13,5,6,0,254,106,19
"2013",5,14,7,2,0,367,59,26
"2013",6,9,6,2,0,225,46,25
"2013",7,11,7,4,2,233,86,22
"2013",8,15,12,3,1,306,56,21
"2013",9,28,24,12,6,390,162,14
"2014",1,28,20,5,2,680,113,24
"2014",2,20,23,8,4,451,167,22
"2014",3,24,24,3,3,355,38,15
"2014",4,33,28,8,6,399,93,12
"2014",5,35,23,10,6,387,108,11
"2014",6,26,19,5,4,289,52,11
"2014",7,19,10,2,1,261,33,14
"2014",8,15,12,4,1,90,21,6
"2014",9,25,10,4,2,250,36,10
"2015",1,27,22,3,2,489,62,18
"2015",2,52,38,5,3,470,46,9
"2015",3,33,32,4,5,233,25,7
"2015",4,10,10,2,2,21,5,2
"2015",6,7,7,0,0,7,0,1
"2015",7,18,16,2,1,54,7,3
"2015",8,2,2,1,1,2,1,1
"2015",9,25,13,4,1,221,40,9
"2016",1,22,8,1,0,1371,84,63
"2016",2,35,4,5,1,175,27,5
"2016",4,32,16,2,1,450,27,14
"2016",5,3,3,0,0,3,0,1
"2016",6,59,71,2,0,529,17,9
"2016",7,31,7,2,0,843,59,27
"2016",8,49,41,2,1,832,40,17
"2016",9,25,12,1,0,331,11,13
"2017",1,14,6,1,0,886,46,64
"2017",2,10,6,0,0,269,6,28
"2017",3,11,4,1,0,559,27,50
"2017",4,4,4,0,0,416,12,96
"2017",5,9,4,0,0,763,31,84
"2017",6,9,4,0,0,293,14,34
"2017",7,8,4,0,0,398,12,52
